Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M)
MATRIX,5236,Property,Property,1.38,-0.7,72406.0,2590.29
CNERGEN,0246,Technology,Technology Equipment,0.405,2.5,1191.0,201.69
TSH,9059,Plantation,Plantation,1.17,-0.8,12379.0,1616.71
COLFORM,0341,Industrial Products & Services,Metals,0.35,-4.1,16927.0,210.0
APPASIA,0119,Technology,Software,0.13,8.3,12632.0,187.84
AMTEL,7031,Telecommunications & Media,Telecommunications Equipment,0.45,0.0,200.0,44.23
SKYWLD,5315,Property,Property,0.415,1.2,4192.0,415.0
KARYON,0054,Industrial Products & Services,Chemicals,0.155,0.0,1199.0,73.74
IRIS,0010,Technology,Software,0.265,1.9,4558.0,216.17
SCIPACK,8125,Industrial Products & Services,Packaging Materials,1.5,0.0,0.0,526.76
LOTUSCIR,7234,Consumer Products & Services,Personal Goods,0.42,1.2,464.0,60.6
MINOX,0288,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.24,2.1,27852.0,86.4
PGF,8117,Industrial Products & Services,Building Materials,2.0,-3.4,2881.0,387.9
KPS,5843,Industrial Products & Services,Diversified Industrials,0.64,-1.5,6.0,343.93
YXPM,0250,Consumer Products & Services,Personal Goods,0.22,2.3,4594.0,81.87
MARCO,3514,Consumer Products & Services,Personal Goods,0.12,-4.0,10288.0,126.52
UNIMECH,7091,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.4,0.0,80.0,211.08
SAPIND,7811,Industrial Products & Services,Auto Parts,0.84,0.0,0.0,61.13
CLMT,5180,Real Estate Investment Trusts,Real Estate Investment Trusts,0.65,0.8,11831.0,1871.98
FAVCO,7229,Industrial Products & Services,Industrial Engineering,1.68,0.0,165.0,397.45
KIMLUN,5171,Construction,Construction,0.91,1.1,3310.0,321.58
AEON,6599,Consumer Products & Services,Retailers,1.38,1.5,5794.0,1937.52
MUH,9539,Property,Property,0.38,-8.4,911.0,21.44
SAM,9822,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.53,-1.7,4086.0,2389.76
MI,5286,Technology,Technology Equipment,1.72,1.2,19719.0,1548.0
TECHBND,5289,Industrial Products & Services,Chemicals,0.34,1.5,3089.0,257.16
RAPID,7765,Property,Property,0.63,-0.8,1401.0,67.34
YSPSAH,7178,Health Care,Pharmaceuticals,2.22,0.9,760.0,314.9
SEB,5163,Industrial Products & Services,Industrial Engineering,0.57,0.0,0.0,45.6
ANNUM,5082,Industrial Products & Services,Wood & Wood Products,0.055,0.0,600.0,12.51
CRPMATE,0331,Industrial Products & Services,Chemicals,0.18,2.9,6654.0,132.84
TAMBUN,5191,Property,Property,0.83,-0.6,591.0,364.63
KEINHIN,7199,Industrial Products & Services,Metals,1.37,-1.4,66.0,149.19
SAMCHEM,5147,Industrial Products & Services,Chemicals,0.4,1.3,1690.0,217.6
EFORCE,0065,Technology,Software,0.235,2.2,2156.0,143.32
JAYCORP,7152,Consumer Products & Services,Houshold Goods,0.62,0.0,684.0,170.19
AXREIT,5106,Real Estate Investment Trusts,Real Estate Investment Trusts,1.84,0.5,15661.0,3699.31
NPC,5047,Plantation,Plantation,2.76,0.0,0.0,331.2
DUFU,7233,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.15,0.0,24651.0,628.34
KKB,9466,Industrial Products & Services,Industrial Engineering,1.47,2.8,10.0,424.43
KUB,6874,Industrial Products & Services,Industrial Services,0.605,-0.8,260.0,337.14
FPGROUP,5277,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.265,0.0,4049.0,145.29
RANHILL,5272,Utilities,"Gas, Water & Multi-Utilities",1.26,0.0,4185.0,1633.95
GESHEN,7197,Industrial Products & Services,"Industrial Materials, Components & Equipment",4.46,0.0,591.0,599.53
MTAG,0213,Industrial Products & Services,Industrial Services,0.27,3.8,5626.0,184.04
ECOWLD,8206,Property,Property,1.88,0.0,29547.0,5573.4
ASTINO,7162,Industrial Products & Services,Building Materials,0.545,2.8,2830.0,268.91
CPETECH,5317,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.68,-5.6,4310.0,456.49
MAGNUM,3859,Consumer Products & Services,"Travel, Leisure & Hospitality",1.25,0.0,24109.0,1797.19
ANALABS,7083,Industrial Products & Services,Industrial Services,1.69,0.0,50.0,202.88
GENP,2291,Plantation,Plantation,5.52,0.2,2286.0,4953.42
MAHSING,8583,Property,Property,1.18,1.7,96184.0,3020.96
SPRITZER,7103,Consumer Products & Services,Food & Beverages,1.57,4.0,2856.0,1002.65
YTLREIT,5109,Real Estate Investment Trusts,Real Estate Investment Trusts,1.05,0.0,11263.0,1789.61
BABA,03012,Consumer Products & Services,Houshold Goods,0.44,0.0,0.0,98.88
AZAMJAYA,5329,Construction,Construction,1.0,-1.0,1857.0,500.0
SRIDGE,0129,Telecommunications & Media,Telecommunications Equipment,0.55,-0.9,203250.0,148.18
SMART,0306,Industrial Products & Services,Building Materials,0.245,-5.8,3172.0,90.61
AYER,2305,Property,Property,7.5,0.0,0.0,561.4
DKLS,7528,Construction,Construction,1.75,0.0,0.0,162.22
TJSETIA,5297,Construction,Construction,0.23,-2.1,39.0,80.16
CVIEW,5049,Property,Property,1.77,0.0,0.0,177.0
CABNET,0191,Technology,Technology Equipment,0.3,3.4,4816.0,53.63
E&O,3417,Property,Property,0.76,1.3,53503.0,1911.55
KIPREIT,5280,Real Estate Investment Trusts,Real Estate Investment Trusts,0.87,0.0,9174.0,694.81
MAGNA,7617,Property,Property,0.6,0.0,0.0,240.86
MEGAFB,5327,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.51,-1.0,37847.0,430.94
SENTRAL,5123,Real Estate Investment Trusts,Real Estate Investment Trusts,0.77,0.0,4244.0,920.54
OKA,7140,Industrial Products & Services,Building Materials,0.65,2.4,52.0,159.51
APM,5015,Industrial Products & Services,Auto Parts,3.09,1.0,1586.0,622.94
MEDIA,4502,Telecommunications & Media,Media,0.48,2.1,7407.0,532.42
INNATURE,5295,Consumer Products & Services,Personal Goods,0.16,-3.0,2400.0,112.94
FIBON,0149,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.45,16.9,51.0,44.1
SASBADI,5252,Telecommunications & Media,Media,0.17,3.0,1109.0,74.14
NSOP,2038,Plantation,Plantation,3.98,1.3,220.0,279.4
CENSOF,5195,Technology,Software,0.18,-2.7,1672.0,99.41
DIALOG,7277,Energy,"Energy, Infrastructure, Equipment & Services",1.48,-4.5,181526.0,8356.11
SUNVIEW,0262,Energy,Renewable Energy,0.405,0.0,32991.0,229.93
PCCS,6068,Consumer Products & Services,Personal Goods,0.345,0.0,0.0,76.94
FIAMMA,6939,Consumer Products & Services,Houshold Goods,1.08,0.0,1801.0,572.65
AIMFLEX,0209,Technology,Technology Equipment,0.115,4.5,50235.0,169.38
KGW,0282,Transportation & Logistics,Transportation & Logistics Services,0.17,3.0,9939.0,82.08
NGGB,7241,Industrial Products & Services,Industrial Services,0.79,-0.6,32527.0,843.69
MYTECH,7692,Industrial Products & Services,Metals,0.3,-13.0,100.0,67.13
ALAQAR,5116,Real Estate Investment Trusts,Real Estate Investment Trusts,1.27,-0.8,743.0,1066.29
JCY,5161,Technology,Technology Equipment,0.375,4.2,64455.0,805.46
TECHSTORE,0343,Technology,Software,0.18,9.1,68607.0,90.0
ZHULIAN,5131,Consumer Products & Services,Consumer Services,1.15,0.0,1049.0,529.0
IJM,3336,Construction,Construction,2.07,4.0,61949.0,7550.46
PRIVA,0123,Telecommunications & Media,Telecommunications Equipment,0.1,5.3,12322.0,67.54
MESTRON,0207,Industrial Products & Services,Metals,0.275,0.0,15693.0,275.21
MBRIGHT,2097,Consumer Products & Services,"Travel, Leisure & Hospitality",0.12,0.0,260.0,303.76
BLDPLNT,5069,Plantation,Plantation,10.84,0.0,0.0,1013.54
POHUAT,7088,Consumer Products & Services,Houshold Goods,1.27,0.8,767.0,353.44
NOVA,0201,Health Care,Pharmaceuticals,0.32,1.6,601.0,101.99
SWIFT,5303,Transportation & Logistics,Transportation & Logistics Services,0.425,3.7,3232.0,379.66
MUHIBAH,5703,Construction,Construction,0.66,0.0,15060.0,482.45
KSSC,5192,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.86,-1.1,22329.0,159.34
KPPROP,7077,Property,Property,0.47,-3.1,6650.0,272.67
MENANG,1694,Property,Property,0.66,3.1,230.0,469.17
UMCCA,2593,Plantation,Plantation,5.06,0.0,0.0,1061.43
GOB,1147,Property,Property,0.145,3.6,1211.0,65.93
BONIA,9288,Consumer Products & Services,Personal Goods,1.32,1.5,23.0,266.07
ACME,7131,Property,Property,0.145,-3.3,2767.0,53.29
NESTCON,0235,Construction,Construction,0.4,1.3,35835.0,285.88
TELADAN,0230,Property,Property,0.955,0.0,310.0,781.67
MAXIM,4022,Property,Property,0.27,0.0,378.0,198.52
TIENWAH,7374,Industrial Products & Services,Industrial Services,0.79,0.0,0.0,114.35
UOADEV,5200,Property,Property,1.76,-0.6,6474.0,4619.87
CEPAT,8982,Plantation,Plantation,0.685,-0.7,683.0,218.14
KSENG,3476,Industrial Products & Services,Diversified Industrials,5.7,0.2,208.0,2060.42
SFPTECH,0251,Technology,Semiconductors,0.285,11.8,205205.0,684.0
HIGHTEC,7033,Industrial Products & Services,Industrial Engineering,0.71,0.0,0.0,86.5
